"d5c394cd","b","a","c","d","e","h","i","f","g","1511101670959"
"42f75809","10","pruned","medium","true","true","92766","17463","10","3","1512331654314"
"6db76212","10","pruned","medium","true","true","106394","30898","16","3","1512334260948"
"8fc76287","6","full","hard","true","true","368131","52215","69","10","1512334943242"
"fcb764e3","10","pruned","hard","true","true","254277","23724","35","4","1512335050959"
"6fcc2567","6","full","easy","true","false","28586","20656","1","0","1512646161644"
"6db6942c","6","full","hard","false","false","31597","8569","7","0","1513264405239"
"aeb6998b","6","full","hard","false","false","77273","68245","5","0","1513265810017"
"d4e69992","10","pruned","hard","false","false","137931","31453","24","0","1513265864428"
"5bc699c7","10","full","hard","false","false","55967","21809","7","0","1513265939448"
"83c699db","6","pruned","easy","false","false","80278","47933","11","0","1513265946803"
"e2d699a7","10","pruned","medium","false","false","217357","94893","1","0","1513266105061"
"59d69844","6","full","easy","false","false","100230","15524","17","0","1513266197782"
"dcb699d5","10","full","medium","true","false","445541","25614","81","0","1513266301032"
"a2c69b6c","6","full","easy","true","true","82828","30835","12","4","1513266405078"
"57d69d8c","10","full","hard","false","false","32574","13848","8","0","1513266713491"
"d6c69dcc","10","pruned","medium","false","false","59574","28591","3","0","1513266867046"
"e2b69bc7","10","pruned","easy","true","true","240832","55259","13","3","1513266952460"
"fdf69f8e","10","pruned","easy","true","true","24198","22134","7","3","1513267234456"
"46e69d92","10","full","easy","true","true","155971","80149","2","4","1513267296224"
"f5a69f97","10","pruned","easy","true","true","71144","25701","2","3","1513267299418"
"68c6a038","6","pruned","hard","false","false","47298","43578","10","0","1513267394619"
"99d69e16","6","pruned","easy","true","true","74365","15547","8","3","1513267415180"
"3fe69871","10","full","easy","false","false","241472","32495","10","0","1513267437990"
"c2d6a051","10","pruned","medium","true","false","19340","60037","2","3","1513267444038"
"8cb6a013","10","full","hard","true","true","67012","90635","12","6","1513267477476"
"82d6a01f","10","full","hard","false","false","88451","39531","3","0","1513267482618"
"d3b69dfe","6","full","hard","true","false","181231","61582","20","8","1513267511071"
"68f69e37","10","pruned","hard","false","false","65245","37762","2","0","1513267537628"
"67b69fd2","10","full","medium","false","false","54884","40209","2","0","1513267433593"
"30d69f93","10","pruned","medium","true","true","183638","45335","10","3","1513267628470"
"48c6a016","10","pruned","hard","false","false","137550","62900","10","0","1513267654994"
"2fe69bf3","10","pruned","hard","false","false","258974","22530","27","0","1513267674672"
"ffb69f94","10","pruned","easy","false","false","389526","21025","78","0","1513267682498"
"34b69fd5","10","pruned","hard","true","true","208887","101354","35","14","1513267703133"
"91c6a123","6","pruned","easy","false","false","104576","40913","11","0","1513267753816"
"fda6adb1","6","full","easy","true","false","293434","62559","8","4","1513271419042"
"35d6a000","10","pruned","hard","false","false","336583","52846","31","0","1513267843764"
"6df6a07e","10","pruned","medium","true","true","85528","164025","8","27","1513267879036"
"f5f6a248","10","full","medium","true","false","27554","24153","3","4","1513268012649"
