,AssignmentId,WorkerId,bonus,bonus_reason
57,3Z7VU45IPZO3TXT4LHF22UEOZNS1ZR,A35PLLN5TFI4KW,1.0,Bonus for tictactoe task. Thank you for participating in our study!
64,37KGEN7NJ4XCWLA0JASQCSU8S5UPP3,A3UAAA096DXGSP,1.0,Bonus for tictactoe task. Thank you for participating in our study!
65,35GCEFQ6I6VZ307J8LTLQNTLX8I3ZZ,A2AXL9GK18UGJN,1.0,Bonus for tictactoe task. Thank you for participating in our study!
67,3WSELTNVR49319X5B8JDR76AILBAT7,A30FBN7J2Y79TX,1.0,Bonus for tictactoe task. Thank you for participating in our study!
68,34MAJL3QP5UJ03JUNS3VWRGCWDF43O,A4CHLWPHZIP7Y,1.0,Bonus for tictactoe task. Thank you for participating in our study!
71,3DI28L7YXBL5I228PU1PHKD6BIVE1C,A1DMTTZDZD77MT,1.0,Bonus for tictactoe task. Thank you for participating in our study!
74,3JZQSN0I3RHUSVS72O6Y6P2CP85FG7,A21D5QDKDO65OM,1.0,Bonus for tictactoe task. Thank you for participating in our study!
75,33FBRBDW6P68W42FSO49660B4C78CG,A249Y8464RRI4J,1.0,Bonus for tictactoe task. Thank you for participating in our study!
78,3KKG4CDWKJ55F58A4145N4JYW7049K,A2DOIZHRZR5HHU,1.0,Bonus for tictactoe task. Thank you for participating in our study!
79,3RUIQRXJBCVWEFG4ZQ6CEUC4INCLLR,A1YAHGRFVDZ4X8,1.0,Bonus for tictactoe task. Thank you for participating in our study!
81,3Z7ISHFUH12L4XDPK2OHH41WDWL8ZB,A2M3FPQF852HW4,1.0,Bonus for tictactoe task. Thank you for participating in our study!
82,3HUTX6F6VVUYJEXT2C4ZRFHP7SQO2M,A2IDZ3JF5XPPLS,1.0,Bonus for tictactoe task. Thank you for participating in our study!
84,3P1L2B7AD2W4K0J1CIM46BGYDSHLO8,A1ZN6V0PU8VVAH,1.0,Bonus for tictactoe task. Thank you for participating in our study!
85,3H7XDTSHKDYW3HE2SDGYADOCKDUGW9,A3APMO8WXVH1V0,1.0,Bonus for tictactoe task. Thank you for participating in our study!
87,3VA45EW49OURUTFXJ84LMW7KFMCO15,A1FH1O46FOKOVA,1.0,Bonus for tictactoe task. Thank you for participating in our study!
88,3B837J3LDP3ULQ67OJ09CSZYG9BRS3,A2LW2GSGDM72NX,1.0,Bonus for tictactoe task. Thank you for participating in our study!
90,3X1FV8S5JYYJOSEX23B2OB5YD4SGVZ,A1OZWGFBAFHPX,1.0,Bonus for tictactoe task. Thank you for participating in our study!
93,3QBD8R3Z22Q8MSCG6QNNKUENR6MO4I,A2HHQU4D5Z8MQ8,1.0,Bonus for tictactoe task. Thank you for participating in our study!
94,3KKG4CDWKJ55F58A4145N4JYW7094P,A2S3SV1LQTKJ8K,1.0,Bonus for tictactoe task. Thank you for participating in our study!
95,3I3WADAZ9RBQIBGGKV6XPMK1R2HO5N,AB66CTVQ90RCV,1.0,Bonus for tictactoe task. Thank you for participating in our study!
104,3EICBYG6453XGLYYJS10VW9PKPVCJ2,A13E5NKCFSG8GO,1.0,Bonus for tictactoe task. Thank you for participating in our study!
106,3PJUZCGDJ7N6Y6VCG4UI4GZ3YTW98W,A3D9DWZK2IS3RE,1.0,Bonus for tictactoe task. Thank you for participating in our study!
111,3IXQG4FA2U5P04TJJGESVIP46ZHB9X,A1WL3NZ50YEOWP,1.0,Bonus for tictactoe task. Thank you for participating in our study!
112,3QRYMNZ7FZOALSRUKCOIDDQAHWETNM,A3OUPE9I9IGVB9,1.0,Bonus for tictactoe task. Thank you for participating in our study!
113,37W3JXSD67FWP8Z2MJ24HDVGPA4WY9,AX5YKKRJ8IMN4,1.0,Bonus for tictactoe task. Thank you for participating in our study!
118,30MVJZJNHNKVINRV78R9T68HE5G9J8,AD1ILDUXZHASF,1.0,Bonus for tictactoe task. Thank you for participating in our study!
122,3TMSXRD2X77ZZ2OZAUVV3QK6ISF1W6,A1IYHQPPOACU83,1.0,Bonus for tictactoe task. Thank you for participating in our study!
124,34HJIJKLP633CCLD7291FM8VN3N4VC,A9JPMRRBFO4NL,1.0,Bonus for tictactoe task. Thank you for participating in our study!
128,32RIADZISTBNKK49D74W4ZOOOZT4S7,AYGFIU5LDCXW4,1.0,Bonus for tictactoe task. Thank you for participating in our study!
135,3LRKMWOKB6OAIIB04LFG7DOTR002ZH,A1X1OL9L162X8Q,1.0,Bonus for tictactoe task. Thank you for participating in our study!
136,3QBD8R3Z22Q8MSCG6QNNKUENRAQ4OA,A2YHF0DPCO832L,1.0,Bonus for tictactoe task. Thank you for participating in our study!
139,34Z02EIMITK70WZNJ6MK21UX96U0TF,A3P7Y9YBJ875WK,1.0,Bonus for tictactoe task. Thank you for participating in our study!
142,3A4NIXBJ776GKXYPZ27RE7RTIW7ML7,A2CLGYPCKVH59J,1.0,Bonus for tictactoe task. Thank you for participating in our study!
144,35K3O9HUACKW8HWGWTGA6MH0CYZFEB,A184EIWAV7P9EH,1.0,Bonus for tictactoe task. Thank you for participating in our study!
145,39DD6S19JQI2DYNGX5AH9EXIO3MZEC,ABNWTOY9KL2KF,1.0,Bonus for tictactoe task. Thank you for participating in our study!
146,3YW4XOSQKRSM7YZUFUGUL2Z9XC3U1Z,A1QDDGYC5UB9YA,1.0,Bonus for tictactoe task. Thank you for participating in our study!
147,3IHR8NYAM88Q7SOHLQ029UJD1FSP4I,A2VA0NCPWJ8XZG,1.0,Bonus for tictactoe task. Thank you for participating in our study!
148,3GD6L00D3T43UQUL6SP8USIFKQ8M17,AY2U544TCVPMQ,1.0,Bonus for tictactoe task. Thank you for participating in our study!
152,386CSBG1O0TPMRTA4R866XT122F6Q6,A270HX8LH9LJ8W,1.0,Bonus for tictactoe task. Thank you for participating in our study!
155,3LJ7UR74RIKQ47C45BNA55EI10W4N6,A38VMTKS30TQZB,1.0,Bonus for tictactoe task. Thank you for participating in our study!
156,31Q0U3WYDQMK9NNY2MNJBALPP1B71F,A2L5RS0Z20PK2D,1.0,Bonus for tictactoe task. Thank you for participating in our study!
159,3FIUS151DW906VO2D8CGOA2OQUNGG3,A250V0QRCNR17F,1.0,Bonus for tictactoe task. Thank you for participating in our study!
162,3WJ1OXY92BNK3P5H8A8I0BAN4GJ8AP,A3493E42N1JZVF,1.0,Bonus for tictactoe task. Thank you for participating in our study!
165,3OONKJ5DKDQS7RXPL5XAS8KT155OB4,ANZKTE853UXSD,1.0,Bonus for tictactoe task. Thank you for participating in our study!
166,3YMU66OBIOFE6RJDXEUY9AEP5WJHGQ,A2NI22SB1OFE1S,1.0,Bonus for tictactoe task. Thank you for participating in our study!
171,3BEFOD78W70KMPR4TA8ASQPIWDE4M4,A3MMLCBV2W3BP9,1.0,Bonus for tictactoe task. Thank you for participating in our study!
172,3M81GAB8A1QVS3A50IPEHDFTG6NBQZ,A9MJVJAMLCDMV,1.0,Bonus for tictactoe task. Thank you for participating in our study!
174,3GU1KF0O4J8ASR9Q05APH8PJBA1BP8,A2ALC6VYJ87XR1,1.0,Bonus for tictactoe task. Thank you for participating in our study!
179,3KOPY89HM9993L2FQZQZ2T5VEJPJ3W,A3JXAURWDF54DG,1.0,Bonus for tictactoe task. Thank you for participating in our study!
181,3HHRAGRYX9C9JYISNLJE12P3D52O9U,A2VX8PH465EMTZ,1.0,Bonus for tictactoe task. Thank you for participating in our study!
182,34S6N1K2ZWQUSJXE85REM2JX1D8HLZ,A3EBIC3PKUSKCL,1.0,Bonus for tictactoe task. Thank you for participating in our study!
186,31T4R4OBOTN4WQXWIJC3S64GT1V7C4,A2KB6FKENIRVWV,1.0,Bonus for tictactoe task. Thank you for participating in our study!
196,3YJ6NA41JCNGAA72OXN6FW8WJFLJPC,A3VE0HT1J20HNX,1.0,Bonus for tictactoe task. Thank you for participating in our study!
197,33FBRBDW6P68W42FSO49660B4MX8CQ,A3IQ9V1JSB2RJO,1.0,Bonus for tictactoe task. Thank you for participating in our study!
199,3U4J9857OFILML5Q4JG8HMYYBHM7BQ,A3822BB341LIB2,1.0,Bonus for tictactoe task. Thank you for participating in our study!
201,3A1PQ49WVIOH2CTAFV9V2NAJ39GH1A,A12ATVBE1I4567,1.0,Bonus for tictactoe task. Thank you for participating in our study!
203,3T111IHZ5FXCGBA8FD0IVXU8OTR9RV,AE1DWQLNREKRF,1.0,Bonus for tictactoe task. Thank you for participating in our study!
204,3OB0CAO74IWESI4DRKG4GALTAT0YHY,AOWW3URQNRJ6U,1.0,Bonus for tictactoe task. Thank you for participating in our study!
205,3S3AMIZX3VCKDZY69WFPSYECFEICDQ,A4T50ODN6SGNR,1.0,Bonus for tictactoe task. Thank you for participating in our study!
