AssignmentId,WorkerId,bonus,bonus_reason
358UUM7WR0A82SMF0G2YH121C1GR7Q,A2ENGC389KC9U2,1,Bonus for tictactoe task. Thank you for participating in our study!
3N1FSUEFL67HIVLRGH97901N6XID43,A2GTJ0BD4CG1A2,1,Bonus for tictactoe task. Thank you for participating in our study!
3RWE2M8QWIH95JU3MA08T2N43PD0N1,AO7H4R6FJ7LC1,1,Bonus for tictactoe task. Thank you for participating in our study!
3II4UPYCOKEO708PEEGKC32S2P9DQU,A3DKYNYN50FYFY,1,Bonus for tictactoe task. Thank you for participating in our study!
3GGAI1SQEW5NHT4JMPESBO057PBCMJ,A1GPZ5REMDQZ0L,1,Bonus for tictactoe task. Thank you for participating in our study!
36V4Q8R5ZL7RBUE2R7FNVTPMB49QMZ,A1LA6CIGBNDOH9,1,Bonus for tictactoe task. Thank you for participating in our study!
3ZSANO2JCGEXI01YXO0FV3KEWRVFSJ,A30KMYNZB3WUYE,1,Bonus for tictactoe task. Thank you for participating in our study!
3U0SRXB7CECX5DE2GNJNDYORCGQRN6,AGKL1HOKIR138,1,Bonus for tictactoe task. Thank you for participating in our study!
3NPI0JQDAPCAOD370R1AH2U40GVTPO,A1JLYIQ4HT4KQC,1,Bonus for tictactoe task. Thank you for participating in our study!
3UJ1CZ6IZIW5G389RCN69RT17X75SG,A1B9S8DT2CTAW0,1,Bonus for tictactoe task. Thank you for participating in our study!
3WEV0KO0ONZ0KGN26I5P73HTKDRSDV,A3P1SDBXCNU6C,1,Bonus for tictactoe task. Thank you for participating in our study!
3QILPRALQ62RN8Z6HEDNMHTMMO4N8S,A1SLJKNSNHOJRN,1,Bonus for tictactoe task. Thank you for participating in our study!
