,AssignmentId,WorkerId,bonus,bonus_reason
65,3RSDURM96BT288DB1J8YV7OGITJYEP,A2OC4PZXSR522W,1.0,Bonus for tictactoe task. Thank you for participating in our study!
66,3II4UPYCOKEO708PEEGKC33TJ83QDN,A1PIGZNLSQMGNW,1.0,Bonus for tictactoe task. Thank you for participating in our study!
68,3CFJTT4SXUXV9TJWAT8P392B6NB7I0,A1E4K9G6ZKPKX4,1.0,Bonus for tictactoe task. Thank you for participating in our study!
73,31Q0U3WYDQMK9NNY2MNJBALPPLA17C,A28WDLPJ0UOPW9,1.0,Bonus for tictactoe task. Thank you for participating in our study!
75,3R5F3LQFV3ROPP05RJDDEQRWSPVOZC,A20EU0UH5K3VGE,1.0,Bonus for tictactoe task. Thank you for participating in our study!
78,3SKRO2GZ72Y842UILGCSFFQBV5FK16,A3P27PCME7XWOC,1.0,Bonus for tictactoe task. Thank you for participating in our study!
86,3WAKVUDHUXN0IKEW4AX3MCQM0IF7UP,A299C7WS77XSW4,1.0,Bonus for tictactoe task. Thank you for participating in our study!
92,3TS1AR6UQRLBZ2H69L240CPJQW57FX,AKNV05F5X5YAC,1.0,Bonus for tictactoe task. Thank you for participating in our study!
105,3VNXK88KKDP49IRPOX5SWUJB9GH9VZ,A2FV2U7RGBVK2T,1.0,Bonus for tictactoe task. Thank you for participating in our study!
108,32EYX73OY1GA03YBDOV9RTHM1VFRUG,A341XKSRZ58FJK,1.0,Bonus for tictactoe task. Thank you for participating in our study!
110,38F5OAUN5OJVDY8C4BQ43X1W6BI7HV,ALB9Q6PW38CHZ,1.0,Bonus for tictactoe task. Thank you for participating in our study!
112,33ISQZVXPQTA87SS90KE8SWUUU4CCK,A1E3MR98PNWZBD,1.0,Bonus for tictactoe task. Thank you for participating in our study!
116,3WJEQKOXA992SPLW9PZ3L1NFQUSA1Q,A3TFKABX2WVOZ6,1.0,Bonus for tictactoe task. Thank you for participating in our study!
123,3FE2ERCCZYFUBLYZ4AFBNSPIIR3PO9,AD1DGG7ZDRAIT,1.0,Bonus for tictactoe task. Thank you for participating in our study!
124,3ERET4BTVNGQT7XDPTRLUL8UTIAK9O,A2JP8W265WCC35,1.0,Bonus for tictactoe task. Thank you for participating in our study!
126,38SKSKU7R24UOE8YEN9ZMEKC182IL8,A2R8IV2PWFTY00,1.0,Bonus for tictactoe task. Thank you for participating in our study!
